Mnemonic,ISIN,Issuer Name
CGEO,GB00BF4HYV08,GEORGIA CAPITAL PLC
MLI,GG00BFWMR296,INDUSTRIALS REIT LIMITED
WRKS,GB00BF5HBF20,THEWORKS.CO.UK PLC
PBEE,GB00BNDRLN84,PENSIONBEE GROUP PLC
SRAD,GB00BMHRMV23,STELRAD GROUP PLC
RE.,GB0002349065,R.E.A.HLDGS PLC
TOWN,GB0003062816,TOWN CENTRE SECURITIES PLC
MTVW,GB0006081037,MOUNTVIEW ESTATES PLC
VP.,GB0009286963,VP PLC
WIL,GB0009692319,WILMINGTON PLC
HSD,IM00B1H1XF89,HANSARD GLOBAL PLC
POLY,JE00B6T5S470,POLYMETAL INTERNATIONAL PLC
ICGC,IE00BLP58571,IRISH CONTINENTAL GROUP PLC
NOG,GB00BGP6Q951,NOSTRUM OIL & GAS PLC
ALM,GB00BLRLH124,ALLIED MINDS PLC
AMGO,GB00BFFK8T45,AMIGO HOLDINGS PLC
ASAI,GB00BDFXHW57,ASA INTERNATIONAL GROUP PLC
ALTN,GB00BMH19X50,ALTYNGOLD PLC
BUMP,GB00BNXGTY25,SERAPHINE GROUP PLC
MCLS,GB00BJ3VW957,MCCOLL'S RETAIL GROUP PLC
KYGA,IE0004906560,KERRY GROUP PLC
KGP,IE0004927939,KINGSPAN GROUP PLC
AIBG,IE00BF0L3536,AIB GROUP PLC
JET,NL0012015705,JUST EAT TAKEAWAY.COM N.V.
NICL,GB0006389398,NICHOLS PLC
NFC,GB0030026057,NEXT FIFTEEN COMMUNICATIONS GRP PLC
ITM,GB00B0130H42,ITM POWER PLC
YNGA,GB00B2NDK765,YOUNG & CO'S BREWERY PLC
EMIS,GB00B61D1Y04,EMIS GROUP PLC
ABC,GB00B6774699,ABCAM PLC
SIR,GB00BLMQ9L68,SECURE INCOME REIT PLC
GAMA,GB00BQS10J50,GAMMA COMMUNICATIONS PLC
RWS,GB00BVFCZV34,RWS HOLDINGS PLC
MIDW,GB00BYSXWW41,MIDWICH GROUP PLC
WHR,GB00BD2NCM38,WAREHOUSE REIT PLC
JHD,GB00B0LS8535,JAMES HALSTEAD PLC
YNGN,GB00B2NDK989,YOUNG & CO'S BREWERY PLC
TFW,GB00BC9ZLX92,THORPE(F.W.) PLC
BMK,GB00BGHPT808,BENCHMARK HOLDINGS PLC
BOR,GB00B08F4599,BORDERS & SOUTHERN PETROLEUM PLC
EME,GB00B09G2351,EMPYREAN ENERGY PLC
AMC,VGG042401007,AMUR MINERALS CORPORATION
INDI,GG00B39HF298,INDUS GAS LD
PAF,GB0004300496,PAN AFRICAN RESOURCES PLC
AMS,GB0004536594,ADVANCED MEDICAL SOLUTIONS GRP PLC
JSG,GB0004762810,JOHNSON SERVICE GROUP PLC
IPX,GB0004905260,IMPAX ASSET MANAGEMENT GROUP PLC
RNWH,GB0005359004,RENEW HOLDINGS PLC
GBG,GB0006870611,GB GROUP PLC
MPE,GB0007538100,M. P. EVANS GROUP PLC
VLX,GB0009390070,VOLEX PLC
IQE,GB0009619924,IQE PLC
APH,GB0031030819,ALLIANCE PHARMA PLC
FDP,GB0031477770,FD TECHNOLOGIES PLC
WINE,GB00B021F836,NAKED WINES PLC
NUM,GB00B05M6465,NUMIS CORPORATION PLC
BRK,GB00B067N833,BROOKS MACDONALD GROUP PLC
SQZ,GB00B0CY5V57,SERICA ENERGY PLC
CTH,GB00B0KWHQ09,CARETECH HOLDINGS PLC
PANR,GB00B125SX82,PANTHEON RESOURCES PLC
JET2,GB00B1722W11,JET2 PLC
POLR,GB00B1GCLT25,POLAR CAPITAL HOLDINGS PLC
CVSG,GB00B2863827,CVS GROUP PLC
CAML,GB00B67KBV28,CENTRAL ASIA METALS PLC
DOTD,GB00B3W40C23,DOTDIGITAL GROUP PLC
LTG,GB00B4T7HX10,LEARNING TECHNOLOGIES GROUP PLC
SMS,GB00B4X1RC86,SMART METERING SYSTEMS PLC
KWS,GB00BBQ38507,KEYWORDS STUDIOS PLC
FDEV,GB00BBT32N39,FRONTIER DEVELOPMENTS PLC
CNIC,GB00BCCW4X83,CENTRALNIC GROUP PLC
ERGO,GB00BN7ZCY67,ERGOMED PLC
FEVR,GB00BRJ9BJ26,FEVERTREE DRINKS PLC
MAB1,GB00BQSBH502,MORTGAGE ADVICE BUREAU (HLDGS) PLC
WJG,GB00BD6RF223,WATKIN JONES PLC
CWR,GB00BG5KQW09,CERES POWER HOLDINGS PLC
VIC,GB00BNVVHD43,VICTORIAN PLUMBING GROUP PLC
REVB,GB00BP7L1T61,REVOLUTION BEAUTY GROUP PLC
BIG,GB00BN2TR932,BIG TECHNOLOGIES PLC
LBG,GB00BKPH9R58,LBG MEDIA PLC
SEE,AU0000XINAJ0,SEEING MACHINES LD
GFM,BMG319201049,GRIFFIN MINING LD
ACSO,GB0001771426,ACCESSO TECHNOLOGY GROUP PLC
GHH,GB0002259116,GOOCH & HOUSEGO PLC
IDOX,GB0002998192,IDOX PLC
IOM,GB0004281639,IOMART GROUP PLC
APP,GB0006710643,APPRECIATE GROUP PLC
MTC,GB0009067447,MOTHERCARE PLC
EKF,GB0031509804,EKF DIAGNOSTICS HOLDINGS PLC
FUM,GB0033278473,FUTURA MEDICAL PLC
IMM,GB0033711010,IMMUPHARMA PLC
SAA,GB00B01F7T14,M&C SAATCHI PLC
BEG,GB00B0305S97,BEGBIES TRAYNOR GROUP PLC
SNG,GB00B0381Z20,SYNAIRGEN PLC
STAF,GB00B040L800,STAFFLINE GROUP PLC
RKH,GB00B0FVQX23,ROCKHOPPER EXPLORATION PLC
QFI,GB00B11DDB67,QUADRISE FUELS INTERNATIONAL PLC
VLS,GB00B11SZ269,VELOCYS PLC
HAT,GB00B12RQD06,H&T GROUP PLC
AFC,GB00B18S7B29,AFC ENERGY PLC
VTU,GB00B1GK4645,VERTU MOTORS PLC
