Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Up Global,UPGS,1000,206.0,245,170,28/07/2021,188.5,30/09/2021,-175.0
Morgan Sindall,MGNS,100,2370.0,2600,2000,28/07/2021,2620.7,23/09/2021,250.0
Chemring,CHG,2000,299.0,350,250,26/07/2021,,,
Qinetic,QQ.,1000,337.0,380,290,23/07/2021,303.0,13/10/2021,-340.0
Sureserve,SUR,5000,79.9,105,70,22/07/2021,,,
Entain,ENT,300,1762.0,2200,1600,01/07/2021,2002.0,17/11/2021,720.0
K3C,K3C,1500,327.0,390,300,28/06/2021,,,
Alumasc,ALU,3500,262.8,300,220,24/06/2021,231.4,21/11/2021,-1099.0
Caretech,CTH,1000,603.0,680,560,23/06/2021,657.0,27/09/2021,540.0
Clinigen,CLIN,1000,581.0,670,550,10/06/2021,905.5,18/01/2022,3245.0
Gattaca,GATC,1500,216.0,280,170,09/06/2021,246.4,14/08/2021,456.0
Clipper,CLG,400,764.0,850,710,09/06/2021,811.0,27/09/2021,188.0
Ultra Electronics,ULE,250,2068.0,2270,1900,01/06/2021,3314.0,20/08/2021,3115.0
Alumasc,ALU,2000,235.0,295,210,28/05/2021,,,
Science,SAG,1500,387.9,480,320,28/05/2021,,,
Team 17,T17,1000,680.0,820,580,21/05/2021,800.0,06/01/2022,1200.0
Royal Mail,RMG,1000,510.2,580,480,20/05/2021,582.5,25/06/2021,723.0
Synthomer,SYNT,1000,488.9,580,420,17/05/2021,524.0,10/09/2021,351.0
Begbies,BEG,7500,119.6,142,105,10/05/2021,140.1,28/09/2021,1537.0
Sureserve,SUR,5000,75.4,94,60,10/05/2021,,,
Tyman,TYMN,1500,460.0,540,420,07/05/2021,461.0,30/06/2021,15.0
Up Global,UPGS,5000,151.0,210,120,29/04/2021,224.1,17/06/2021,3650.0
Cohort,CHRT,381,620.0,690,540,28/04/2021,595.9,20/11/2021,-92.0
Gattaca,GATC,1000,149.5,190,100,28/04/2021,246.4,14/08/2021,969.0
Spire Health,SPI,2000,189.2,225,145,27/04/2021,248.0,02/07/2021,1176.0
Lucedo,LUCE,1500,290.0,350,220,22/04/2021,496.5,27/08/2021,3097.0
Ince,INCE,5000,75.2,95,60,14/04/2021,54.0,18/10/2021,-1060.0
Totally,TLY,10000,32.7,45,28,13/04/2021,,,
Eco Animal Health,EAH,1500,330.0,450,270,08/04/2021,290.0,14/10/2021,-600.0
Finncap,FCAP,10000,34.0,42,28,07/04/2021,43.0,12/05/2021,900.0
Spirent,SPT,1000,239.5,280,220,30/03/2021,,,
Polymetal,POLY,400,1398.0,1600,1350,28/03/2021,1630.0,23/04/2021,928.0
Luceco,Luce,2000,261.5,320,215,23/03/2021,490.5,27/08/2021,6422.0
Luceco,Luce,1000,241.5,320,205,15/03/2021,490.5,27/08/2021,2490.0
Sureserve,SUR,10000,67.5,110,62,11/03/2021,,,
Halma,HLMA,250,2285.0,2450,2190,10/03/2021,2560.0,11/04/2021,688.0
Royal Mail,RMG,1000,482.0,550,435,10/03/2021,582.5,25/06/2021,1005.0
ITV,ITV,5000,113.4,140,98,01/03/2021,117.25,25/08/2021,192.0
Mitie,MTO,10000,53.9,70,45,24/02/2021,76.15,11/06/2021,2225.0
Inspiration Heathcare,IHC,5000,94.9,120,82,23/02/2021,126.4,06/10/2021,1575.0
Morgan Sindall,MGNS,500,1495.7,1950,1300,23/02/2021,2620.7,23/09/2021,5625.0
Totally,TLY,10000,30.9,38,26,22/02/2021,,,
Solid State,SOLI,1000,680.0,800,600,04/02/2021,1137.0,18/01/2022,4570.0
Gattaca,GATC,5000,82.0,100,72,04/02/2021,246.4,14/08/2021,7420.0
Supreme,SUP,2500,150.0,220,135,01/02/2021,201.1,14/09/2021,1277.0
IG Group,IGG,1000,752.5,850,720,29/01/2021,830.5,24/09/2021,780.0
K3c,K3c,1000,250.0,320,210,29/01/2021,,,
CMC,CMCX,1000,383.0,450,350,25/01/2021,537.0,09/04/2021,1530.0
RBG Group,RBGP,5000,60.0,80,50,15/01/2021,136.11,05/05/2021,3805.0
RBG Group,RBGP,5000,60.0,80,50,15/01/2021,140.0,28/09/2021,4000.0
Begbies,BEG,7500,99.47,120,80,12/01/2021,120.0,12/04/2021,1540.0
Money Supermarket,MONY,3500,264.9,290,235,04/01/2021,258.0,10/08/2021,-241.0
Gamesys,GYS,500,1134.0,1500,1000,23/12/2020,1960.0,29/03/2021,4130.0
Fonix Mobile,FNX,5000,124.0,180,110,23/12/2020,166.0,06/09/2021,2100.0
Entain,ENT,600,1129.0,1500,1000,22/12/2020,1660.0,07/05/2021,3186.0
Spire,SPI,6000,136.7,195,120,21/12/2020,251.5,17/06/2021,6888.0
Volex,VLX,2000,301.7,380,280,18/12/2020,373.5,17/06/2021,1436.0
Sumo,SUMO,1000,308.7,400,270,09/12/2020,490.0,08/08/2021,1813.0
Avast,AVST,1500,476.0,580,420,08/12/2020,604.0,25/08/2021,1920.0
Take Two (USA),TTWO,5,182.0,250,170,03/12/2020,,,
Calnex,CLX,5000,92.0,140,82,26/11/2020,112.0,01/09/2021,1000.0
Codemasters,CDM,2500,496.3,600,400,25/11/2020,654.0,18/12/2020,3943.0
I Energiser,IBPO,1000,260.0,400,220,12/11/2020,,,
Qinetic,QQ.,2000,273.2,350,250,09/11/2020,,,
IG,IGG,1000,764.0,900,700,06/11/2020,830.5,24/09/2021,665.0
CMC,CMCX,1500,311.8,370,270,01/10/2020,423.3,06/08/2021,1672.0
888,888,3500,205.0,280,185,25/09/2020,,,
IG Group,IGG,1000,770.0,880,720,24/09/2020,830.5,24/09/2021,605.0
TT Electronics,TTG,5000,179.2,250,140,22/09/2020,273.8,20/09/2021,4730.0
ITV,ITV,10000,58.7,75,50,22/09/2020,117.25,25/08/2021,5855.0
Kingfisher,KFG,2000,281.8,335,240,22/09/2020,304.3,27/10/2020,250.0
Thinksmart,TSL,10000,38.22,50,30,15/09/2020,90.9,14/12/2021,5268.0
Clipper,CLG,1000,440.0,500,390,14/09/2020,811.0,27/09/2021,3710.0
Mondi,MNDI,250,1477.5,1650,1400,10/09/2020,1685.0,01/10/2020,519.0
Flutter,FLTR,100,11220.0,13000,10730,09/09/2020,13990.0,02/03/2021,2270.0
Avon Rubber,Avon,100,3915.0,4500,3500,09/09/2020,2782.3,09/06/2021,-1133.0
I energizer,IBPO,1000,226.0,280,190,03/09/2020,,,
Kooth,KOO,2500,239.5,280,200,02/09/2020,286.0,25/01/2021,1163.0
Rightmove,RMV,500,626.0,700,520,26/08/2020,704.0,27/09/2021,390.0
Next Fifteen,NFC,2500,430.5,525,380,25/08/2020,640.0,02/02/2021,5250.0
Cineworld,Cine,10000,47.36,75,42,18/08/2020,60.2,04/09/2020,1284.0
CMC,CMCX,2500,299.5,345,270,10/08/2020,423.3,06/08/2021,3095.0
Morgan SIndall,MGNS,400,1126.8,1400,1050,05/08/2020,2620.7,23/09/2021,5975.0
ITV,ITV,10000,58.5,72,52,04/08/2020,100.0,03/03/2022,4150.0
Greggs,GRG,200,1196.0,1500,1120,03/08/2020,1394.0,07/09/2020,396.0
Network Int,NETW,1000,399.0,480,370,29/07/2020,401.9,14/09/2020,29.0
Spirent,SPT,2000,258.0,350,240,29/07/2020,,,
Vectura,Vec,5000,98.4,120,92,20/07/2020,158.4,28/05/2021,3000.0
Flutter,FLTR,300,11535.0,13000,11000,17/07/2020,12485.0,26/08/2020,2850.0
I energizer,IBPO,1500,239.9,320,210,16/07/2020,,,
K3C,K3C,1500,134.0,180,110,16/07/2020,,,
Qinetic,QQ.,2500,290.2,350,265,14/07/2020,,,
Codemasters,CDM,1500,328.0,400,290,09/07/2020,654.0,18/12/2020,4890.0
Flutter,FLTR,100,10779.3,12000,10100,06/07/2020,12485.0,26/08/2020,1706.0
Allianz Tech,ATT,200,2330.0,2550,2200,03/07/2020,3010.0,29/09/2021,1360.0
D4T4,D4T4,1000,220.0,250,180,02/07/2020,325.0,01/12/2021,1050.0
888,888,3500,167.9,190,145,26/06/2020,,,
Kape Technology,KAPE,5000,203.0,250,180,25/06/2020,196.75,03/09/2020,-313.0
Gateley,GTLY,5000,122.0,145,112,25/06/2020,138.0,21/08/2020,800.0
Avon Rubber,Avon,100,3005.0,3550,2770,25/06/2020,2782.3,09/06/2021,-223.0
Concurrent Tech,CNC,5000,106.2,130,80,18/06/2020,98.2,07/09/2021,-400.0
Telecom Plus,TEP,500,1393.8,1550,1250,16/06/2020,,,
888,888,2500,147.9,175,135,15/06/2020,,,
Vectura,Vec,7500,94.8,110,85,11/06/2020,158.4,28/05/2021,4770.0
TP Group,TPG,150000,5.9,10,5,10/06/2020,5.0,15/06/2021,-1350.0
Elecosoft,ELCO,5000,76.96,95,60,02/06/2020,81.0,22/07/2020,202.0
Morgan SIndall,MGNS,240,1220.0,1500,1150,29/05/2020,1156.0,17/07/2020,-154.0
Codemasters,CDM,2500,300.0,450,270,26/05/2020,654.0,18/12/2020,8850.0
ITV,ITV,5000,74.9,95,65,21/05/2020,88.0,09/06/2020,655.0
Vaneck Video Gaming,ESGB,1000,2353.0,2800,2000,21/05/2020,31850.0,29/06/2021,8320.0
D4T4,D4T4,2500,185.0,235,165,19/05/2020,325.0,01/12/2021,3500.0
Stock Spirits,STCK,3000,219.5,280,195,19/05/2020,248.0,17/06/2020,859.0
Vectura,Vec,5000,85.7,110,75,05/05/2020,158.4,28/05/2021,3635.0
Kingfisher,KGF,5000,150.5,180,130,28/04/2020,304.3,27/10/2020,7690.0
Begbies,Beg,10000,95.7,115,82,24/04/2020,126.18,04/02/2022,3048.0
FRP Advisory,FRP,10000,111.88,130,100,20/04/2020,129.35,21/08/2020,1747.0
RBG Group,RBGP,10000,64.0,85,50,17/04/2020,76.5,13/07/2020,1250.0
Concurrent Tech,CNC,5000,91.5,110,80,17/04/2020,98.2,07/09/2021,365.0
Sopheon,SPE,1000,619.0,800,550,16/04/2020,,,
