Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Nahl,NAH,1000,315.4,380,280,08/06/2015,390.25,30/09/2015,748.0
Cambridge Cognition,COG,2500,82.0,120,60,01/06/2015,59.0,16/03/2016,-575.0
Quantum Pharma,QP.,5000,145.0,190,110,29/05/2015,107.5,20/11/2015,-1875.0
Aldermore,ALD,2500,248.25,330,220,18/05/2015,262.0,20/11/2015,344.0
AGA,AGA,5000,96.25,130,82,13/05/2015,117.5,27/05/2015,1063.0
SCS,SCS,2500,148.6,180,130,11/05/2015,158.3,11/06/2015,242.0
Foxtons,FOXT,2000,241.2,320,220,08/05/2015,259.1,19/06/2015,358.0
Jelf,JLF,2500,187.0,220,167,06/05/2015,213.25,16/09/2015,656.0
Shoe Zone,SHOE,2500,160.2,200,150,28/04/2015,189.1,28/05/2015,722.0
AGA,AGA,5000,89.8,120,75,22/04/2015,185.0,16/07/2015,4760.0
Quantum Pharma,QP.,3000,122.25,170,99,20/04/2015,107.5,20/11/2015,-450.0
Lookers,LOOK,2500,152.5,170,140,20/04/2015,180.9,07/08/2015,710.0
Quantum Pharma,QP.,4000,116.0,180,99,17/04/2015,107.5,20/11/2015,-340.0
Telecom Plus,TEP,1000,757.06,850,710,16/04/2015,858.9,22/05/2015,1010.0
Energy Assets,EAS,750,460.0,550,400,14/04/2015,684.0,24/04/2016,1580.0
Renew,RNWH,2000,257.0,330,210,14/04/2015,450.0,24/01/2018,3860.0
John Laing,JLG,2500,212.0,240,195,13/04/2015,289.0,16/10/2017,1925.0
Paysafe (rights),PAYS,5000,166.0,420,150,10/04/2015,596.5,01/08/2017,21525.0
Impellam,IPEL,500,745.0,850,680,09/04/2015,840.0,26/04/2016,475.0
Gulf Marine,GMS,2500,116.2,128,105,08/04/2015,116.89,05/11/2015,17.0
IP Group,IPO,3000,225.0,300,190,03/04/2015,224.22,25/09/2015,-24.0
Telford Homes,TEF,2000,404.9,480,370,02/04/2015,380.0,01/02/2016,-498.0
London Capital,LCG,15000,20.3,29,17,24/03/2015,20.0,04/08/2015,-45.0
Tungsten,TUNG,2000,164.3,230,140,18/03/2015,183.0,24/04/2015,380.0
Immobile,IMO,5000,117.0,150,105,13/03/2015,144.5,10/06/2015,1375.0
KBC,KBC,5000,79.0,95,72,12/03/2015,116.0,08/06/2015,1850.0
Telecom Plus,TEP,500,998.1,1150,965,11/03/2015,1004.0,26/03/2015,30.0
Scisys,SSY,2500,93.8,105,84,08/03/2015,56.75,04/06/2015,-927.0
New India IT,NII,1500,359.75,420,325,02/03/2015,332.25,23/04/2015,-503.0
Dialight,DIA,800,663.3,750,620,27/02/2015,754.0,15/04/2014,726.0
Shoe Zone,SHOE,1500,225.0,280,195,26/02/2015,191.0,21/04/2015,-510.0
Caretech,CTH,1500,204.0,250,180,26/02/2015,233.1,10/12/2015,436.0
NMC Health,NMC,1000,517.8,650,495,24/02/2015,871.4,15/05/2015,3536.0
Hunting,HTG,1000,464.7,530,410,23/02/2015,640.0,17/04/2015,1753.0
Gulf Marine,GMS,2500,115.1,140,100,20/02/2015,130.06,23/03/2015,374.0
London Capital,LCG,7500,29.9,36,24,18/02/2015,29.0,06/03/2015,-67.0
888,888,3000,143.5,200,115,16/02/2015,237.0,06/08/2018,2806.0
Sprue Aegis,SPRP,2500,332.0,380,280,16/02/2015,340.0,27/04/2015,200.0
John Laing,JLG,2564,195.0,220,175,12/02/2015,289.0,16/10/2017,2410.0
Iomart,IOM,5000,180.0,225,155,09/02/2015,299.8,30/11/2015,5950.0
Pressure,PRES,1000,234.6,285,190,05/02/2015,285.0,10/03/2015,504.0
Utilitywise,UTW,2500,195.7,225,175,02/02/2015,229.33,13/02/2015,841.0
Al Noor,ANH,450,900.5,1050,840,29/01/2015,1172.1,10/11/2015,1222.0
Telecom Plus,TEP,500,979.63,1200,940,27/01/2015,1170.0,24/02/2015,952.0
Empiric,ESP,5000,105.87,140,95,27/01/2015,,,
Shoe Zone,SHOE,1500,248.35,290,210,26/01/2015,217.5,21/04/2015,-463.0
London Capital,LCG,5000,29.45,35,22,22/01/2015,29.0,06/03/2015,-22.0
Pressure,PRES,1000,300.0,370,265,21/01/2015,370.0,02/02/2015,700.0
Pets At Home,Pets,2000,204.1,225,195,21/01/2015,265.0,17/04/2015,1218.0
Spire,SPI,1000,314.41,350,285,16/01/2015,362.92,20/10/2016,485.0
Entertainment One,ETO,1000,280.2,330,240,15/01/2015,216.0,23/11/2015,-642.0
32 Red,TTR,7500,41.59,52,35,14/01/2015,48.2,03/02/2015,496.0
Gulf Marine,GMS,2500,98.5,120,87,08/01/2015,114.6,02/02/2015,403.0
Gulf Marine,GMS,2500,98.5,120,87,08/01/2015,116.89,05/11/2015,460.0
London Capital,LCG,1000,37.9,42,32,07/01/2015,39.0,16/01/2015,11.0
KBC,KBC,5000,86.6,120,78,23/12/2014,136.5,12/11/2015,2492.0
Servelec,SERV,1200,298.9,370,265,23/12/2014,357.3,13/06/2016,701.0
Xeros,XSG,2500,136.6,220,120,22/12/2014,228.35,07/11/2017,2293.0
Xeros,XSG,2500,136.6,220,120,22/12/2014,240.0,28/12/2017,2585.0
Cranswick,CWK,500,1364.9,1450,1322,15/12/2014,1370.87,21/01/2015,30.0
Quartix,QTX,1000,126.7,170,115,14/12/2014,,,
Caretech,CTH,2000,226.2,255,199,10/12/2014,220.0,11/02/2015,-120.0
Audioboom,BOOM,25000,10.2,14,8,10/12/2014,10.25,23/01/2015,
Dignity,DTY,700,1711.7,2200,1500,02/12/2014,2260.0,01/09/2017,3839.0
Renew,RNWH,2500,269.0,300,235,01/12/2014,427.0,19/10/2017,4200.0
Carclo,CAR,5000,91.8,120,78,21/11/2014,128.5,15/10/2015,1835.0
Vectura,VEC,2500,123.9,170,110,21/11/2014,132.5,11/05/2017,215.0
Flowgroup,FLOW,10000,43.5,60,35,18/11/2014,40.0,27/01/2015,-350.0
Quartix,QTX,3500,162.0,195,130,17/11/2014,265.6,21/01/2016,3626.0
Paysafe,PAYS,3000,327.6,420,295,14/11/2014,596.5,05/10/2017,8067.0
Quartix,QTX,4000,138.9,180,120,07/11/2014,366.0,23/10/2017,9084.0
Spire,SPI,1000,315.6,340,270,07/11/2014,341.9,15/01/2015,263.0
Amino Tech,AMO,4000,105.0,130,98,04/11/2014,156.28,08/10/2015,2051.0
Mission Marketing,TMMG,10000,41.8,53,38,03/11/2014,83.65,05/03/2020,4185.0
Audioboom,BOOM,50000,12.1,17,11,28/10/2014,10.25,23/01/2015,-836.0
Regenersis,RGS,1500,199.9,240,180,27/10/2014,163.0,02/08/2015,-553.0
Energy Assets,EAS,1000,395.25,450,350,20/10/2014,685.0,11/05/2016,2898.0
Energy Assets,EAS,1000,399.5,480,360,17/10/2014,684.0,24/04/2016,2845.0
Flowgroup,FLOW,10000,34.9,45,29,17/10/2014,36.2,30/01/2015,130.0
Pets At Home,PETS,2000,172.2,220,160,17/10/2014,295.7,30/10/2015,2470.0
Iomart,IOM,1000,171.97,250,155,16/10/2014,,,
Sprue Aegis,SPRP,1500,249.0,295,230,16/10/2014,304.1,28/04/2015,826.0
OPG,OPG,3500,84.0,120,77,14/10/2014,105.75,14/11/2014,761.0
OPG,OPG,3500,84.0,120,77,14/10/2014,85.0,02/12/2015,35.0
Tristel,TSTL,5000,69.0,85,58,26/09/2014,79.0,11/05/2015,500.0
Sprue Aegis,SPRP,2500,290.2,340,245,24/09/2014,305.0,28/04/2015,370.0
Pressure,PRES,500,652.5,750,580,24/09/2014,700.0,23/10/2014,238.0
Pressure,PRES,500,652.5,750,580,24/09/2014,685.5,25/11/2014,165.0
Iomart,IOM,2500,216.5,250,178,16/09/2014,,,
Optimal Payments,OPAY,1000,483.4,580,430,10/09/2014,516.6,25/09/2014,332.0
Spire Health,SPI,5000,270.1,330,240,04/09/2014,362.92,21/11/2016,4641.0
APR,APR,1000,499.4,590,440,27/08/2014,476.25,21/10/2014,-232.0
Audioboom,BOOM,25000,8.45,14,7,22/08/2014,17.25,23/09/2014,2170.0
Audioboom,BOOM,25000,8.45,14,7,22/08/2014,10.25,23/01/2015,450.0
ITE,ITE,2500,191.2,225,180,20/08/2014,183.8,26/09/2014,-185.0
Intelligent Energy,IEH,2500,238.1,350,205,18/08/2014,270.11,19/09/2014,800.0
Polypipe,PLP,1500,238.9,295,215,18/08/2014,279.0,23/04/2015,602.0
Seeing Machines,SEE,50000,4.22,9,3,22/07/2014,5.5,28/04/2015,639.0
Scisys,SSY,5000,83.0,95,75,14/07/2014,56.75,04/06/2015,-1313.0
Playtech,PTEC,1000,596.0,650,560,10/07/2014,699.2,10/09/2014,1032.0
Blinkx,BLNX,25000,32.2,42,28,02/07/2014,36.7,26/09/2014,1125.0
Hayward Tyler,HAYT,5000,78.0,110,67,01/07/2014,81.45,16/06/2016,172.0
Regenersis,RGS,1500,292.7,350,270,25/06/2014,294.0,23/09/2014,20.0
Xaar,Xar,1000,482.4,550,465,20/06/2014,423.1,03/09/2014,-593.0
888,888,3000,115.8,150,105,19/06/2014,256.8,06/08/2018,4230.0
Dillistone,DSG,5000,91.8,108,85,18/06/2014,111.25,16/07/2014,972.0
Iomart,IOM,2500,206.5,250,182,17/06/2014,278.25,05/09/2014,1794.0
Netplay,NPT,25000,16.5,19,15,28/05/2014,17.03,03/07/2014,132.0
Advanced Medical Solutions,AMS,5000,113.9,130,105,27/05/2014,115.5,24/06/2014,80.0
OPG,OPG,5000,100.1,130,90,27/05/2014,105.75,14/11/2014,282.0
Safestyle,SFE,2500,185.0,220,170,22/05/2014,235.0,12/02/2015,1250.0
Playtect,PTEC,2000,596.88,660,580,21/05/2014,666.0,05/06/2014,1383.0
Entertainment One,ETO,2500,276.39,350,250,21/05/2014,216.0,23/11/2015,-1509.0
Hayward Tyler,HAYT,5000,72.9,90,63,20/05/2014,84.76,09/06/2014,593.0
Jelf,JLF,2500,111.0,130,101,20/05/2014,121.0,15/07/2014,250.0
Kentz,KENZ,1000,675.0,750,645,20/05/2014,927.0,16/07/2014,2520.0
OPG,OPG,5000,91.0,130,85,19/05/2014,85.0,02/12/2015,-305.0
Hayward Tyler,HAYT,5000,67.9,85,62,12/05/2014,81.5,16/06/2016,680.0
GVC,GVC,1000,405.0,460,375,09/05/2014,568.5,12/03/2019,1645.0
Seeing Machines,SEE,50000,5.25,8,4,29/04/2014,5.5,28/04/2015,75.0
32 Red,TTR,5000,49.0,62,42,22/04/2014,200.25,23/02/2017,7562.0
Polypipe,PLP,2000,261.7,295,221,16/04/2014,279.0,23/04/2015,346.0
Vectura,VEC,2000,116.9,140,105,14/04/2014,132.5,11/05/2017,312.0
Powerflute,POWR,25000,34.0,42,30,01/04/2014,89.0,15/09/2016,13750.0
Scisys,SSY,5000,86.0,95,81,01/04/2014,83.0,17/06/2014,-150.0
Playtech,PTEC,1000,673.8,720,635,31/03/2014,639.0,09/04/2014,-348.0
ITE,ITE,2000,191.0,220,184,31/03/2014,230.61,30/04/2014,801.0
Jelf,JLF,5000,109.0,140,95,19/03/2014,213.25,16/09/2015,5212.0
Gulf Marine,GMS,2500,148.0,190,125,19/03/2014,124.8,27/11/2014,-580.0
K3 Business,KBT,2500,195.0,230,182,18/03/2014,223.1,30/04/2014,702.0
Pets At Home,PETS,2000,235.5,280,210,17/03/2014,229.0,09/04/2014,-120.0
Helphire,HHR,50000,6.6,9,6,12/03/2014,6.48,07/04/2014,-90.0
IP Group,IPO,2000,209.0,250,172,03/03/2014,195.6,14/04/2014,-268.0
Servelec,SERV,2000,266.0,295,225,25/02/2014,279.7,14/05/2014,274.0
Seeing Machines,SEE,46972,5.0,8,4,22/02/2014,5.5,28/04/2015,235.0
GVC,GVC,1500,361.0,400,325,07/02/2014,,,
Styles,STY,25000,14.4,19,12,07/02/2014,16.35,08/04/2014,487.0
Carclo,CAR,3500,167.48,190,149,06/02/2014,135.0,01/05/2014,-1134.0
Xchanging,XCH,2500,180.8,220,155,05/02/2014,186.1,26/02/2014,132.0
KBC,KBC,2500,98.0,118,92,04/02/2014,118.0,21/05/2014,500.0
Coms,COMS,100000,6.8,10,6,28/01/2014,9.5,28/01/2014,2800.0
Fusionex,FXI,500,543.5,800,510,24/01/2014,580.0,08/04/2014,183.0
OPG Power,OPG,10000,60.1,90,53,17/01/2014,85.0,02/12/2015,2500.0
Dialight,DIA,500,626.8,800,595,08/01/2014,740.7,05/02/2014,609.0
Quindell Portfolio,QPP,25000,18.7,29,17,30/12/2013,26.5,22/04/2014,1550.0
Mopowered,MPOW,2500,97.0,120,91,18/12/2013,91.0,22/04/2014,-150.0
Vectura,VEC,3500,132.0,180,120,18/12/2013,153.51,03/04/2017,732.0
Communisis,CMS,9000,51.6,67,47,16/12/2013,67.5,11/07/2013,1710.0
Infinis,INFI,2500,238.29,275,210,10/12/2013,262.0,12/02/2014,593.0
KBC,KBC,2500,100.0,145,93,09/12/2013,116.0,08/06/2015,400.0
KBC,KBC,2500,100.0,145,93,09/12/2013,136.5,12/11/2015,912.0
Scapa,SCPA,5000,100.8,130,94,09/12/2013,125.95,09/12/2013,1257.0
Servelec,SERV,3300,212.0,290,195,03/12/2013,228.6,15/06/2016,547.0
Hangar 8,HGR8,2500,206.0,285,190,27/11/2013,253.0,20/05/2014,1175.0
Seeing Machines,SEE,50000,6.7,10,5,27/11/2013,5.57,28/04/2015,-565.0
Applied Graphene Materials,AGM,2000,206.09,330,180,20/11/2013,473.0,26/11/2013,5339.0
Infinis,INFI,2288,260.0,295,235,15/11/2013,238.0,10/12/2013,-503.0
Telit,TCM,2000,144.0,180,130,12/11/2013,238.5,24/04/2014,1882.0
Telit,TCM,1000,143.5,180,130,12/11/2013,238.5,24/04/2014,950.0
Merlin,MERL,1888,315.0,390,310,08/11/2013,,,
Avation,AVAP,3000,108.75,175,97,06/11/2013,127.0,02/05/2014,528.0
Kromek,KMK,10000,62.0,80,52,05/11/2013,55.8,28/03/2013,-620.0
Avation,AVAP,5000,106.0,175,97,25/10/2013,226.7,16/10/2017,6035.0
Avintrans,AVG,2500,153.0,225,140,21/10/2013,167.0,27/03/2014,345.0
Avintrans,AVG,3000,150.0,220,140,20/10/2013,167.0,27/03/2014,510.0
Dillistone,DSG,3000,99.9,130,94,15/10/2013,101.0,16/06/2014,33.0
Royal Mail,RMG,227,330.0,450,320,11/10/2013,391.21,07/10/2014,139.0
Arrow Global,ARW,3000,221.97,260,205,09/10/2013,250.0,04/03/2014,841.0
Accumuli,ACM,50000,16.19,25,14,08/10/2013,22.36,25/11/2013,3035.0
Accumuli,ACM,30000,16.0,25,14,04/10/2013,31.5,30/04/2015,4650.0
Fusionex,FXI,1000,303.2,380,274,03/10/2013,280.0,21/01/2016,-232.0
32 Red,TTR,9000,55.0,75,50,18/09/2013,55.0,12/03/2014,1530.0
Communisis,CMS,5000,57.25,68,54,18/09/2013,67.5,11/07/2013,500.0
Regenerisis,RGS,3500,243.0,280,220,17/09/2013,280.0,23/09/2014,1295.0
SQS,SQS,1000,435.0,500,410,16/09/2013,505.0,16/09/2013,700.0
Communisis,CMS,10000,57.0,69,52,13/09/2013,67.5,11/07/2013,1050.0
Caracal Energy,CRCL,2000,439.0,530,410,12/09/2013,476.1,31/10/2013,742.0
CSR,CSR,1000,524.8,590,490,12/09/2013,501.0,20/11/2013,-238.0
Renew,RNWH,5000,135.8,170,120,11/09/2013,450.0,24/01/2018,15760.0
Keywords Studios,KWS,2500,155.9,190,140,09/09/2013,145.0,20/09/2013,-272.0
Parity,PTY,15000,30.6,42,26,09/09/2013,28.13,28/11/2013,-221.0
Cohort,CHRT,3500,176.4,220,155,21/08/2013,217.0,04/12/2013,1121.0
Vectura,VEC,5000,100.9,180,87,21/08/2013,111.5,23/08/2017,530.0
Monitise,MONI,15000,44.4,80,37,14/08/2013,56.03,14/04/2014,1738.0
Conviviality,CVR,3500,139.0,200,120,05/08/2013,165.0,15/09/2014,910.0
Partnership Assurance,PA.,2000,437.48,550,405,24/06/2013,498.0,05/08/2013,1221.0
Al Noor,ANH,1000,585.0,1000,550,24/06/2013,822.0,07/10/2013,2370.0
Al Noor,ANH,1000,578.0,1000,530,21/06/2013,1172.1,10/11/2015,5941.0
Creston,CRE,5000,94.9,120,89,12/06/2013,128.0,10/12/2014,1660.0
Latchways,LTC,500,1045.0,1300,950,10/06/2013,1318.8,22/08/2013,1369.0
Microgen,MCGN,5000,133.0,175,120,29/05/2013,153.7,19/06/2013,1035.0
Fusionex,FXI,2500,249.72,380,225,22/05/2013,280.0,12/01/2016,757.0
Optos,OPTS,2000,115.08,140,106,16/05/2013,126.3,06/06/2013,225.0
Greencore,GNC,10000,114.25,140,105,10/05/2013,145.0,31/07/2013,3075.0
St Ives,SIV,2000,142.0,170,122,08/05/2013,159.0,08/05/2013,356.0
Hellerman,HTY,2000,210.0,250,195,02/05/2013,315.0,06/11/2013,2100.0
Restore,RST,1500,127.0,150,114,01/05/2013,244.1,07/10/2014,1756.0
Kentz,KENZ,1500,375.0,425,359,25/04/2013,585.0,19/08/2013,3150.0
Kentz,KENZ,1500,368.0,420,355,24/04/2013,927.0,16/07/2014,8385.0
Huntsworth,HNT,10000,45.8,55,41,22/04/2013,53.0,04/04/2013,720.0
LOQ,LOQ,1000,512.0,650,490,19/04/2013,,02/11/2018,14940.0
Coastal,CEO,500,1085.7,1400,950,18/04/2013,1052.5,06/06/2013,-166.0
Sepura,SEPU,5000,105.5,120,95,17/04/2013,148.0,26/09/2013,2125.0
Filtronic,FTC,10000,54.9,70,47,16/04/2013,59.0,28/01/2014,410.0
Porvair,PRV,5000,219.8,295,205,10/04/2013,277.45,30/06/2013,2873.0
Vectura,VEC,5000,78.9,95,73,10/04/2013,111.5,23/08/2017,1630.0
Optos,OPTS,2500,149.3,175,130,03/04/2013,156.64,10/05/2013,184.0
Greencore,GNC,5000,101.4,115,92,27/03/2013,145.0,31/07/2013,2180.0
Esure,ESUR,1319,290.0,350,274,27/03/2013,285.0,06/08/2013,-85.0
Coastal,CEO,500,1087.75,1400,995,26/03/2013,1199.0,04/04/2013,557.0
Hellerman,HTY,5000,196.5,250,180,26/03/2013,315.0,23/09/2014,5925.0
Hellerman,HTY,5000,194.5,240,182,26/03/2013,307.5,26/09/2014,5650.0
Parity,PTY,15000,31.0,45,28,12/03/2013,40.6,10/05/2013,1440.0
Chime,CHW,1600,253.75,280,245,06/03/2013,269.75,10/12/2014,256.0
Communisis,CMS,5000,52.0,75,45,04/03/2013,67.5,11/07/2013,750.0
Xchanging,XCH,5000,144.5,170,135,04/03/2013,141.8,04/03/2013,-135.0
Fiberweb,FWEB,8000,78.9,95,70,04/03/2013,93.0,23/08/2013,1128.0
LOQ,LOQ,900,547.0,650,490,04/03/2013,582.0,03/04/2013,315.0
Avon,AVON,750,398.25,430,388,01/03/2013,413.0,11/03/2013,111.0
Parity,PTY,25000,25.25,40,22,20/02/2013,40.6,10/05/2013,3838.0
NMC Health,NMC,2000,265.6,300,245,19/02/2013,330.0,21/03/2013,1300.0
Greencore,GNC,10000,82.1,110,75,15/02/2013,145.0,31/07/2013,6290.0
32 Red,TTR,10000,44.2,65,37,08/02/2013,102.3,12/11/2015,5810.0
Huntsworth,HNT,10000,44.7,52,41,05/02/2013,53.0,04/04/2013,380.0
Booker,BOK,5000,108.28,125,98,04/02/2013,120.0,24/04/2013,586.0
Filtronic,FTC,10000,46.4,70,38,28/01/2013,69.5,25/03/2013,2310.0
Vitec,VTC,500,603.7,650,580,25/01/2013,625.0,28/02/2013,107.0
Pendragon,PDG,24000,19.9,24,17,22/01/2013,24.0,25/04/2013,984.0
Carclo,CAR,3000,406.0,650,340,04/01/2013,422.75,21/03/2013,448.0
St Ives,SIV,6000,106.8,125,98,04/01/2013,159.8,06/06/2013,3180.0
Vislink,VLK,15000,26.6,33,24,02/01/2013,31.55,02/01/2013,733.0
Greencore,GNC,4000,91.9,99,87,30/12/2012,111.8,08/02/2013,796.0
Cash Converters,CCVU,7000,69.0,100,55,13/12/2012,83.0,18/02/2013,980.0
Low and Bonar,LWB,10000,51.2,60,47,13/12/2012,76.5,04/04/2013,2530.0
Trifast,TRI,15000,46.5,55,42,04/12/2012,59.13,02/05/2013,1894.0
Cash Converters,CCVU,3500,56.0,100,48,29/11/2012,83.0,18/02/2013,945.0
SDL,SDL,1000,435.2,480,405,27/11/2012,451.34,13/03/2013,161.0
Avon Rubber,AVON,1000,344.0,390,320,23/11/2012,410.0,17/01/2013,660.0
Optos,OPTS,5000,168.5,192,161,20/11/2012,190.6,22/01/2013,1105.0
Optos,OPTS,1500,167.75,192,161,20/11/2012,196.0,08/03/2013,424.0
MS Int,MSI,1500,215.0,250,200,19/11/2012,223.0,20/02/2013,270.0
Filtronic,FTC,30000,31.3,39,28,15/11/2012,49.0,27/03/2014,5340.0
Trifast,TRI,10000,40.36,55,35,09/11/2012,59.13,09/11/2012,1877.0
Corin,CRG,10000,60.47,68,55,06/11/2012,69.0,06/12/2012,859.0
Corin,CRG,17000,61.6,69,55,06/11/2012,69.0,06/12/2012,1258.0
Porvair,PRV,5000,134.6,150,128,25/10/2012,,,
Coastal,CEO,500,1175.0,1500,1080,18/10/2012,1150.0,18/10/2012,-125.0
Direct Line,DLG,2800,175.0,200,167,17/10/2012,218.71,15/08/2013,1223.0
Aga,AGA,10000,57.6,70,54,16/10/2012,83.1,14/01/2013,2541.0
SDL,SDL,1500,575.5,195,168,16/10/2012,560.0,23/10/2012,-232.0
Optos,OPTS,2000,205.0,230,185,15/10/2012,205.5,02/11/2012,11.0
Diverse Income Trust,DIVI,10000,55.8,70,49,12/10/2012,74.5,20/09/2013,1870.0
St Ives,SIV,7000,97.25,120,90,09/10/2012,180.7,03/10/2013,5842.0
Carclo,CAR,1000,345.0,450,310,08/10/2012,397.2,03/04/2013,552.0
St Ives,SIV,5000,93.75,120,86,05/10/2012,145.73,25/04/2016,2599.0
Trinity Mirror,TNI,8000,55.0,65,50,02/10/2012,64.5,08/10/2012,720.0
CML Micro,CML,2500,330.0,390,310,01/10/2012,391.0,01/11/2012,1525.0
Sepura,SEPU,10000,76.4,90,72,24/09/2012,143.25,04/03/2016,6208.0
BATM,BVC,30000,15.7,19,14,19/09/2012,17.3,03/10/2012,480.0
Gresham Computers,GHT,8000,67.0,76,63,17/09/2012,71.6,19/09/2012,368.0
Lavendon,LVD,3000,139.8,160,134,16/09/2012,134.0,18/11/2012,-175.0
Lavendon,LVD,2500,141.0,150,136,14/09/2012,134.0,18/11/2012,-174.0
Fyffes,FFY,5000,40.25,46,35,14/09/2012,51.85,13/02/2013,588.0
Vitec Group,VTC,500,712.5,800,680,14/09/2012,630.6,07/01/2013,-409.0
Filtronic,FTC,10000,35.25,42,32,12/09/2012,42.0,24/09/2012,675.0
Betfair,BET,1000,729.5,775,710,11/09/2012,747.0,21/09/2012,175.0
Fenner,FENR,1500,347.0,390,339,06/09/2012,395.5,24/09/2012,727.0
Molins,MLIN,2500,109.07,122,101,31/08/2012,122.1,18/09/2012,326.0
APR,APR,1000,752.43,950,680,31/08/2012,827.0,05/10/2012,746.0
Filtronic,FTC,20000,33.0,60,27,31/08/2012,36.5,19/10/2012,700.0
APR,APR,1000,640.0,950,580,16/08/2012,755.0,13/10/2012,1240.0
Nichols,NICL,500,716.0,850,680,16/08/2012,,,
Sporting Bet,SBT,20000,34.0,50,28,13/08/2012,52.0,24/09/2012,3600.0
Photo Me,PHTM,5000,38.75,42,35,16/07/2012,43.5,31/08/2012,213.0
Ms Int,MSI,1500,252.3,295,235,16/07/2012,234.0,24/11/2012,-304.0
Creston,CRE,4500,61.23,80,55,13/07/2012,93.0,13/12/2013,1430.0
Creston,CRE,10000,62.25,80,55,13/07/2012,93.0,13/12/2013,3075.0
GB Group,GBG,5000,75.5,95,68,06/07/2012,98.0,06/12/2012,1125.0
Anite,AIE,3000,122.4,150,115,02/07/2012,129.5,10/09/2012,213.0
Fenner,FENR,1000,346.0,380,330,28/06/2012,370.0,12/07/2012,240.0
Vectura,VEC,5000,70.9,85,61,21/06/2012,158.4,28/05/2021,4375.0
Carclo,CAR,1000,385.25,500,340,18/06/2012,418.06,03/10/2012,328.0
Costain,COST,1500,191.2,225,180,18/06/2012,294.6,11/11/2014,1551.0
Kentz,Kenz,1000,327.2,395,310,18/06/2012,435.0,04/04/2013,1076.0
MMC Consult,MMC,25000,21.19,28,19,13/06/2012,24.57,31/08/2012,845.0
Vislink,VLK,10000,27.7,37,24,21/05/2012,33.15,22/08/2012,1045.0
Entertainment One,ETO,2000,132.6,180,115,21/05/2012,215.0,23/11/2015,1660.0
Optos,OPTS,2000,186.5,225,160,19/05/2012,186.12,18/07/2012,-8.0
Smiths News,NWS,4000,94.0,108,86,18/05/2012,108.6,18/07/2012,584.0
Photo Me,PHTM,10000,36.0,45,32,18/05/2012,44.25,20/06/2012,825.0
SportingBet,SBT,25000,28.0,35,25,18/05/2012,55.0,16/10/2012,6750.0
NMC Health,NMC,2000,199.75,250,175,15/05/2012,322.0,30/04/2013,2425.0
Chime,CHW,2500,145.4,180,130,13/05/2012,269.75,10/12/2014,3108.0
Corin,CRG,10000,41.5,55,37,10/05/2012,58.1,24/08/2012,1660.0
Vectura,VEC,5000,68.0,95,55,01/05/2012,158.4,28/05/2021,4520.0
GB Group,GBG,5000,64.94,85,55,24/04/2012,,,
APR,APR,300,937.1,1050,850,13/04/2012,948.0,14/05/2012,33.0
XP Power,XPP,400,1024.0,1200,975,11/04/2012,1170.0,01/05/2012,592.0
Optos,OPTS,2000,219.0,290,200,23/03/2012,231.0,17/05/2012,240.0
Optos,OPTS,2000,219.0,290,200,23/03/2012,277.1,10/04/2012,1162.0
APR,APR,500,831.03,980,810,20/03/2012,948.0,14/05/2012,585.0
Costain,Cost,2500,235.6,280,210,19/03/2012,294.6,11/11/2014,1490.0
Trifast,TRI,10000,43.8,55,40,14/03/2012,47.0,04/05/2012,320.0
Ruspetro,RPO,3000,189.7,250,170,08/03/2012,170.0,04/05/2012,-351.0
Vitec,VTC,1000,609.8,690,540,29/02/2012,630.6,07/01/2013,208.0
APR,APR,400,978.6,1600,850,27/02/2012,948.0,14/05/2012,-122.0
APR,APR,500,994.8,1600,850,24/02/2012,948.0,14/05/2012,-234.0
Photo Me,PHTM,10000,46.25,52,41,24/02/2012,44.3,04/05/2012,-195.0
Taylor Wimpey,TW.,20000,46.6,55,43,21/02/2012,51.95,29/02/2012,1060.0
Nichols,NICL,600,616.0,680,575,17/02/2012,,,
IP,IPO,4000,102.0,150,94,17/02/2012,142.5,31/08/2012,1620.0
E2V,E2V,4500,117.4,150,108,01/02/2012,143.5,04/05/2012,1174.0
Greencore,GNC,10000,59.7,75,54,30/01/2012,111.8,08/02/2013,5210.0
E2V,E2V,2500,123.0,150,110,27/01/2012,273.5,14/12/2016,3762.0
Chime,CHW,2500,195.7,250,185,25/01/2012,197.2,04/05/2012,38.0
Low and Bonar,LWB,10000,46.9,60,41,24/01/2012,57.5,15/05/2012,1060.0
Zotefoams,ZTF,2000,128.0,150,112,24/01/2012,172.0,14/05/2012,880.0
Computacentre,CCC,1000,389.0,450,360,24/01/2012,455.0,13/03/2012,660.0
Vislink,VLK,20000,22.3,32,19,19/01/2012,48.5,24/09/2013,8885.0
CML,CML,2000,210.0,240,190,12/01/2012,260.0,08/02/2012,1000.0
Flybe,FLYB,5000,52.9,70,48,10/01/2012,71.05,22/02/2012,907.0
Howden,HWDN,3500,100.9,115,95,21/12/2011,124.0,,809.0
IP Group,IPO,5000,74.0,95,64,13/12/2011,,,
GB,GBG,8000,46.5,70,37,06/12/2011,,,
Innovation Group,TIG,20000,17.4,21,15,06/12/2011,20.5,08/06/2012,620.0
New Brit,NBPO,500,725.0,850,690,06/12/2011,771.23,23/08/2012,230.0
