,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2021-02-01,229.97279357910156,374.194091796875,232.3800048828125,380.3599853515625,246.1300048828125,394.1700134277344,227.8800048828125,370.3800048828125,235.05999755859375,373.7200012207031,490962200.0,1307806200.0
2021-02-17,,,,,,,,,,,,
2021-03-01,233.8650665283203,389.90521240234375,235.77000427246094,396.3299865722656,241.0500030517578,398.1199951171875,224.25999450683594,371.8800048828125,235.89999389648438,385.5899963378906,724945800.0,2401715800.0
2021-03-19,,,,,,,,,,,,
2021-04-01,250.14247131347656,411.8798522949219,252.17999267578125,417.29998779296875,263.19000244140625,420.7200012207031,238.0500030517578,398.17999267578125,238.47000122070312,398.3999938964844,568661600.0,1462106600.0
2021-05-01,247.66265869140625,414.58428955078125,249.67999267578125,420.0400085449219,254.35000610351562,422.82000732421875,238.07000732421875,404.0,253.39999389648438,419.42999267578125,495084900.0,1547235900.0
2021-05-19,,,,,,,,,,,,
2021-06-01,269.3316955566406,422.5001220703125,270.8999938964844,428.05999755859375,271.6499938964844,428.7799987792969,243.0,414.70001220703125,251.22999572753906,422.57000732421875,508572200.0,1282152400.0
2021-06-18,,,,,,,,,,,,
2021-07-01,283.2606201171875,434.2303771972656,284.9100036621094,438.510009765625,290.1499938964844,441.79998779296875,269.6000061035156,421.9700012207031,269.6099853515625,428.8699951171875,522672700.0,1422104700.0
2021-08-01,300.13238525390625,447.15301513671875,301.8800048828125,451.55999755859375,305.8399963378906,453.07000732421875,283.739990234375,436.1000061035156,286.3599853515625,440.3399963378906,441308900.0,1254001400.0
2021-08-18,,,,,,,,,,,,
2021-09-01,280.82452392578125,424.9518127441406,281.9200134277344,429.1400146484375,305.32000732421875,454.04998779296875,281.6199951171875,428.7799987792969,302.8699951171875,452.55999755859375,502918700.0,1745559600.0
2021-09-17,,,,,,,,,,,,
2021-10-01,330.33135986328125,456.224853515625,331.6199951171875,459.25,332.0,459.55999755859375,280.25,426.3599853515625,282.1199951171875,430.9800109863281,516515800.0,1508665200.0
2021-11-01,329.3053894042969,452.5592041015625,330.5899963378906,455.55999755859375,349.6700134277344,473.5400085449219,326.3699951171875,455.29998779296875,331.3599853515625,460.29998779296875,509885200.0,1335351500.0
2021-11-17,,,,,,,,,,,,
2021-12-01,335.62603759765625,471.8313903808594,336.32000732421875,474.9599914550781,344.29998779296875,479.0,317.25,448.9200134277344,335.1300048828125,461.6400146484375,625674800.0,1927433900.0
2021-12-17,,,,,,,,,,,,
2022-01-01,310.33831787109375,448.5166320800781,310.9800109863281,449.9100036621094,338.0,479.9800109863281,276.04998779296875,420.760009765625,335.3500061035156,476.29998779296875,947531400.0,2485167800.0
2022-02-01,298.1734619140625,435.27777099609375,298.7900085449219,436.6300048828125,315.1199951171875,458.1199951171875,271.5199890136719,410.6400146484375,310.4100036621094,450.67999267578125,697050600.0,2297975100.0
2022-02-16,,,,,,,,,,,,
2022-03-01,308.30999755859375,450.24127197265625,308.30999755859375,451.6400146484375,315.95001220703125,462.07000732421875,270.0,415.1199951171875,296.3999938964844,435.0400085449219,734334200.0,2380929500.0
2022-03-18,,,,,,,,,,,,
2022-04-01,274.0299987792969,426.0400085449219,274.0299987792969,426.0400085449219,315.1099853515625,457.8299865722656,273.3800048828125,425.44000244140625,309.3699951171875,453.30999755859375,410767800.0,1259793300.0
2022-04-22,274.0299987792969,426.0400085449219,274.0299987792969,426.0400085449219,283.20001220703125,438.0824890136719,273.4200134277344,425.44000244140625,281.67999267578125,436.9100036621094,29330493.0,132471772.0
