Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,Professional Investor Only,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FS10,HOWDEN JOINERY GROUP PLC,GB0005576813,0557681,DE,SHRS,GBX,TP_2,TM_47,GB,HWDN,HOWDEN JOINERY,ORD 10P,N,3000.0,1.0,5.0,3845580.0,29036330.0,21/03/2022
SET1,FS10,MEGGITT PLC,GB0005758098,0575809,DE,SHRS,GBX,TP_2,TM_47,GB,MGGT,MEGGITT,ORD 5P,N,3000.0,1.0,5.0,46121671.0,59272760.0,20/09/2021
SET1,FS10,ASSOCIATED BRITISH FOODS PLC,GB0006731235,0673123,DE,SHRS,GBX,TP_2,TM_47,GB,ABF,A.B.FOOD,ORD 5 15/22P,N,1500.0,1.0,5.0,15736294.0,62910405.0,14/03/2022
SET1,FS10,PEARSON PLC,GB0006776081,0677608,DE,SHRS,GBX,TP_2,TM_47,GB,PSON,PEARSON,ORD 25P,N,3000.0,1.0,5.0,12174010.0,36383219.0,15/08/2017
SET1,FS10,PERSIMMON PLC,GB0006825383,0682538,DE,SHRS,GBX,TP_2,TM_47,GB,PSN,PERSIMMON,ORD 10P,N,1000.0,1.0,5.0,11708903.0,53898790.0,24/10/2017
SET1,FS10,ST.JAMES'S PLACE PLC,GB0007669376,0766937,DE,SHRS,GBX,TP_2,TM_47,GB,STJ,ST.JAMES'S PLAC,ORD 15P,N,1500.0,1.0,5.0,18883199.0,38780022.0,28/03/2018
SET1,FS10,SMITH (DS) PLC,GB0008220112,0822011,DE,SHRS,GBX,TP_2,TM_47,GB,SMDS,SMITH(DS),ORD 10P,N,7500.0,1.0,5.0,8246029.0,32248466.0,07/03/2018
SET1,FS10,TAYLOR WIMPEY PLC,GB0008782301,0878230,DE,SHRS,GBX,TP_2,TM_47,GB,TW.,TAYLOR WIMPEY,ORD 1P,N,15000.0,1.0,5.0,14519415.0,48316927.0,15/08/2017
SET1,FS10,SMITH & NEPHEW PLC,GB0009223206,0922320,DE,SHRS,GBX,TP_2,TM_47,GB,SN.,SMITH&NEPHEW,ORD USD0.20,N,1500.0,1.0,5.0,13112042.0,78453482.0,14/12/2020
SET1,FS10,DECHRA PHARMACEUTICALS PLC,GB0009633180,0963318,DE,SHRS,GBX,TP_2,TM_46,GB,DPH,DECHRA PHARM,ORD 1P,N,500.0,1.0,5.0,5506605.0,28444470.0,20/12/2021
SET1,FS10,INTERTEK GROUP PLC,GB0031638363,3163836,DE,SHRS,GBX,TP_2,TM_47,GB,ITRK,INTERTEK GROUP,ORD 1P,N,300.0,1.0,5.0,16292300.0,44409985.0,15/08/2017
SET1,FS10,BURBERRY GROUP PLC,GB0031743007,3174300,DE,SHRS,GBX,TP_2,TM_47,GB,BRBY,BURBERRY GRP,ORD 0.05P,N,1000.0,1.0,5.0,12008283.0,59843204.0,15/08/2017
SET1,FS10,NEXT PLC,GB0032089863,3208986,DE,SHRS,GBX,TP_2,TM_47,GB,NXT,NEXT,ORD 10P,N,300.0,1.0,5.0,15985404.0,65219967.0,15/08/2017
SET1,FS10,KINGFISHER PLC,GB0033195214,3319521,DE,SHRS,GBX,TP_2,TM_47,GB,KGF,KINGFISHER,ORD 15 5/7P,N,7500.0,1.0,5.0,8649748.0,55805290.0,22/06/2020
SET1,FS10,ITV PLC,GB0033986497,3398649,DE,SHRS,GBX,TP_2,TM_47,GB,ITV,ITV,ORD 10P,N,30000.0,1.0,5.0,4611747.0,28500004.0,21/06/2021
SET1,FS10,SAINSBURY(J) PLC,GB00B019KW72,B019KW7,DE,SHRS,GBX,TP_2,TM_47,GB,SBRY,SAINSBURY(J),ORD 28 4/7P,N,7500.0,1.0,5.0,24774298.0,40541049.0,04/12/2017
SET1,FS10,ADMIRAL GROUP PLC,GB00B02J6398,B02J639,DE,SHRS,GBX,TP_2,TM_47,GB,ADM,ADMIRAL GRP,ORD 0.1P,N,750.0,1.0,5.0,20603401.0,46493014.0,15/08/2017
