,Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
110,Dexion,DAB,30,150.5,180,135,10/03/2011,145.5,14/06/2011,150.0
111,Xchanging,XCH,50,70.0,90,62,04/03/2011,77.0,14/03/2011,350.0
112,Croda,CRDA,5,1548.0,2000,1410,28/02/2011,1619.0,10/03/2011,355.0
113,2 Ergo,RGO,30,133.5,180,110,28/02/2011,122.0,26/05/2011,315.0
114,Micro Focus,MCRO,20,289.0,380,250,25/02/2011,368.0,17/05/2011,1580.0
115,African Min,AMI,10,531.0,600,490,24/02/2011,499.0,07/03/2011,320.0
116,Encore,EO.,30,118.9,145,108,23/02/2011,112.0,14/03/2011,180.0
117,Dialight,DIA,10,567.0,800,500,15/02/2011,710.0,10/03/2011,1430.0
118,Filtrona,FLTR,10,297.0,340,280,14/02/2011,351.0,05/05/2011,560.0
119,ITV,ITV,100,84.0,98,72,07/02/2011,90.0,10/03/2011,600.0
120,Domino,DNO,5,676.0,750,630,07/02/2011,692.0,07/03/2011,80.0
121,African Min,AMI,10,533.0,700,470,07/02/2011,549.0,24/02/2011,160.0
122,Laird,LRD,20,166.0,220,147,02/02/2011,151.0,10/03/2011,300.0
123,Afren,AFR,30,150.5,180,135,01/02/2011,159.0,27/04/2011,255.0
124,Essar,ESSR,5,521.0,580,485,31/01/2011,506.0,10/03/2011,75.0
125,FTSE,UKX,5,5880.0,0,6010,31/01/2011,6010.0,11/02/2011,650.0
126,Pace,PIC,30,187.0,215,173,28/01/2011,195.0,08/03/2011,240.0
127,RPC,RPC,30,240.0,300,200,17/01/2011,238.0,10/03/2011,60.0
128,Yule,YULC,65,116.0,400,150,13/01/2011,196.0,02/08/2011,5200.0
129,Kentz,Kenz,20,342.0,450,290,06/01/2011,369.0,10/03/2011,540.0
130,Exillion,EXI,15,335.0,500,280,31/12/2010,420.0,27/07/2011,1275.0
131,Chime,CHW,20,219.0,300,190,20/12/2010,267.0,10/03/2011,960.0
132,CPP,CPP,20,299.0,400,250,20/12/2010,140.0,11/04/2011,3150.0
133,Exillion Energy,EXI,20,309.0,400,270,10/12/2010,420.0,27/07/2011,2220.0
134,Centamin,CEY,15,166.0,190,140,10/12/2010,161.0,19/01/2011,75.0
135,Essar,ESSR,10,526.0,620,510,02/12/2010,510.0,31/01/2011,160.0
